DATE,SATPOP
2000-01-01,1719.262
2001-01-01,1743.796
2002-01-01,1777.397
2003-01-01,1808.267
2004-01-01,1843.927
2005-01-01,1878.12
2006-01-01,1932.72
2007-01-01,1984.766
2008-01-01,2030.691
2009-01-01,2072.128
2010-01-01,2153.021
2011-01-01,2193.95
2012-01-01,2237.076
2013-01-01,2280.116
2014-01-01,2328.984
2015-01-01,2379.357
2016-01-01,2426.051
2017-01-01,2471.603
2018-01-01,2512.526
2019-01-01,2550.147
2020-01-01,2590.732
