DATE,ELPPOP
2000-01-01,680.942
2001-01-01,684.78
2002-01-01,688.771
2003-01-01,694.672
2004-01-01,702.433
2005-01-01,708.683
2006-01-01,720.756
2007-01-01,727.828
2008-01-01,738.416
2009-01-01,751.296
2010-01-01,807.02
2011-01-01,823.205
2012-01-01,835.471
2013-01-01,833.918
2014-01-01,836.67
2015-01-01,834.916
2016-01-01,838.371
2017-01-01,840.702
2018-01-01,840.372
2019-01-01,842.376
2020-01-01,846.192
