DATE,MCLPOP
2000-01-01,573.398
2001-01-01,588.533
2002-01-01,607.449
2003-01-01,627.164
2004-01-01,646.523
2005-01-01,665.475
2006-01-01,683.719
2007-01-01,701.862
2008-01-01,721.275
2009-01-01,741.152
2010-01-01,779.091
2011-01-01,795.305
2012-01-01,807.93
2013-01-01,818.047
2014-01-01,829.065
2015-01-01,838.741
2016-01-01,847.759
2017-01-01,854.739
2018-01-01,860.765
2019-01-01,867.221
2020-01-01,875.2
