DATE,AUSPOP
2000-01-01,1265.715
2001-01-01,1324.426
2002-01-01,1353.176
2003-01-01,1382.693
2004-01-01,1418.999
2005-01-01,1464.309
2006-01-01,1528.958
2007-01-01,1594.525
2008-01-01,1654.1
2009-01-01,1705.075
2010-01-01,1727.514
2011-01-01,1780.679
2012-01-01,1834.861
2013-01-01,1883.749
2014-01-01,1943.017
2015-01-01,2002.814
2016-01-01,2062.808
2017-01-01,2115.999
2018-01-01,2166.805
2019-01-01,2228.106
2020-01-01,2295.303
